Setting,Main configuration
Operating system,Windows 10.0.26200 SP0
Python,3.9.13
Solver,Gurobi 10.0.1
CPU,Intel(R) Core(TM) i9-14900HX
Main backbone,DeepSeek-V4-Pro
Backbone sensitivity,Qwen3.7-Max and Kimi-K3 on the fixed 40-sample slice
Public input,"Public scenario description, data description and instance data only"
LLM timeout,180 s per call in the mainline
Global LLM hard limit,18 calls per sample
Maximum route rounds,8
Solver time limit,300 s
MIP gap,0.0001
Solver threads,"0, using the solver default"
