family,n_unique_terms,terms
P001,18,"objective_contract_replay, public_sensor_membership, public_target_membership, public_weapon_membership, select_sensor, select_weapon, selected_sensor, selected_weapon, sensor_binary_domain, sensor_membership_bound, sensor_selected, sensor_target_assignment, solution_view_selected_engagements_mapping, target_binary_domain"
P002,25,"area_interceptor_capacity, area_reliability_threshold, area_selection, area_serial_mission_reliability_threshold, assigned_missile_target, binary_area_selection, binary_integrality_pair, binary_target_selection, effective_kill_probability_definition, eligible_missile_target_assignment, independent_attempts_target_kill, kill_prob, linear_objective_consistency, missile_assigned_at_most_one_target"
P003,9,"at_most_one_target_per_hfv, authoritative_public_candidate_membership, binary_membership, select_hfv_candidate, select_target_candidate, selected_hfv, target_max_hfvs_capacity, target_resource_capacity, unit_single_target_assignment"
P004,10,"heading, indicator, negative, positive, positive_heading_wrap, radar_support_to_capacity, ship, ship_heading_turn_rate, state, wrap"
P005,16,"binary_and_integer_domains, public_candidate_membership_and_availability, stage_target_availability, stage_target_weapon_allocation, stage_target_weapon_assignment, stage_weapon_inventory_capacity, stage_weapon_inventory_limit, target_achieved_damage, target_achieved_damage_definition, target_damage_threshold, target_damage_threshold_requirement, target_stage_availability, target_stage_availability_limit, used_weapons_definition"
P006,11,"at_least_one_eligible_defense_per_missile, eligible_engagement_selection, guidance_compatibility, jammer_horizontal_vertical_coverage, one_at_a_time_non_jammer, over_assignment_prevention, range_bounds, selected_eligible_pair, solution_view_selection_consistency, staged_binary_domain, staged_selected_eligible_pair"
P007,12,"engagementassignment, platform_selection, platform_target_assignment, platform_weapon_capacity, platforms, range_feasibility, range_feasibility_restriction, residual_target_threat, target_lower_assignment_bound, target_max_assigned_weapons, targets, weapon_resource_cost"
P008,2,"selection, weapon_min_launch_interval_hit_step_surrogate"
P009,21,"candidate_engagement_assignment, during, engaged, firing, interval, intervals, launch, makespan, minimum, operational_risk, option, remaining_target_value, resource_cost, spacing"
P010,11,"max_destroyed_value_minus_penalties, selected_engagements_solution_view, single_weapon_use, target_capacity_only_if_public, target_destroyed, target_destroyed_only_if_kill_threshold_reached, target_engaged_indicator, target_engaged_link, target_kill_threshold, weapon_unique_assignment, weapon_usage_limit"
P011,7,"expected_target_value_weighted_effectiveness, expected_value_weighted_effectiveness, missile_exactly_one_target, missile_single_use, target_independent_failure_effectiveness, target_kill_probability, target_stochastic_kill_probability"
P012,22,"adrap_expected_intercepted_value, binarydecisiondomains, candidate_item_selection, consecutiveinterceptionspacing, interception_time, interceptiontime, missile_attempt_assignment, missile_time_capacity, missile_vehicle_load, missileradarconsistency, missilevehicleassignment, missilevehicleload, onemissilevehicleperattempt, oneradarperattempt"
P013,10,"assignment_respects_feasibility, bandwidth_nonnegative_domain, bandwidth_positive_only_if_assigned, binary_assignment_domain, each_uav_at_most_one_radar_per_frame, selected_candidate, solution_view_consistency, sum_bandwidth_covers_suppressed_radar_working_bandwidth, uav_radar_assignment, uav_radar_bandwidth_allocations"
P014,5,"indexed, least, time, weapons, weighted"
P015,30,"adversarial_path_response, authoritative_candidate_set_no_filter, candidate_membership, candidate_selected, candidate_selection, coverage_visit_activation, covered_node, interception_activation_links_to_coverage, interception_active, node_covered_by_selected_deployment, node_potential_segment_binding, original_edge_activation, original_path_node_potential, original_path_selection"
P016,26,"assignment_selected, binary, binary_engagement_membership, binary_selection, binary_weapon_capacity, bounds, budget, continuous, continuous_engagement_effort, convex_relaxation_effort_objective, effort, effort_assigned, membership, original_binary_objective"
P017,22,"assignedweapon, between, binary_weapon_selection, candidatemembership, choice, current_missile_storage_selected, list, missile_engaged_by_some_weapon, missileavailability, missileselected, sampling, selected_missile_storage_candidate, selected_weapon_candidate, single"
P018,17,"authoritative_candidate_membership, engagementselection, feasible_firing_slot_restriction, feasible_slot_membership, firing_delay, firing_delay_compliance, launcher_capacity, launcher_interceptor_capacity, launcher_single_target_per_time_slot, launcher_time_exclusive, one_target_per_launcher_per_slot, orientation_heading_feasibility, rotation_realignment_if_activated, rotation_realignment_time"
